iter,LB,time
1,0.0,0.4010350704193115
2,0.0,1.5448999404907227
3,0.0,2.4700210094451904
4,0.0,3.405117988586426
5,0.0,4.361277103424072
6,0.0,5.328217029571533
7,0.0,6.36965012550354
8,0.0,7.421947002410889
9,0.0,8.458508014678955
10,0.0,9.51190996170044
11,0.0,10.543965101242065
12,0.0,11.613393068313599
13,0.0,12.692829132080078
14,0.0,13.907480955123901
15,0.0,15.139670133590698
16,0.0,16.349728107452393
17,0.0,17.43845796585083
18,0.0,18.585668087005615
19,0.0,19.786865949630737
20,0.0,20.990700006484985
21,0.4257940230214592,22.282839059829712
22,7.549873131432076,23.4710431098938
23,7.636658902996416,24.76537299156189
24,7.866732160767218,25.956346035003662
25,7.873449738345632,27.085047006607056
26,7.873449738345632,28.132500171661377
27,34.61016432560438,29.278362035751343
28,34.61289050450266,30.603119134902954
29,39.83060975736453,31.828979015350342
30,40.237603232528606,33.11384201049805
31,54.91334459895704,34.39883804321289
32,54.92161158988168,35.74677896499634
33,55.44171675706971,37.075210094451904
34,61.52674930412996,38.31139612197876
35,66.13899215605994,39.56018900871277
36,66.42720841084439,40.92046904563904
37,68.71020577758894,42.332443952560425
38,68.76612641490982,43.545616149902344
39,68.82918568926272,44.95899415016174
40,72.5482966079012,46.21982216835022
41,74.28043865483858,47.66336512565613
42,75.12309405503964,49.19682812690735
43,75.13513313740707,50.567538022994995
44,97.78079795571583,52.093337059020996
45,98.0453703754221,53.55498194694519
46,99.04111678805296,54.923521995544434
47,104.29699561981768,56.45275807380676
48,108.73061311106292,58.14280605316162
49,112.6626600677848,59.635246992111206
50,117.2308325798604,61.255622148513794
51,118.60746198970473,62.60427498817444
52,118.60895409476625,63.90839695930481
53,118.91407890780596,65.35498595237732
54,122.40241824454317,67.02204394340515
55,122.47018215769894,68.46273612976074
56,124.72199414535471,70.15335416793823
57,138.54269805676353,71.67330408096313
58,147.90867589293322,73.54945206642151
59,149.61871138037083,74.79074811935425
60,150.4758409562378,76.48182511329651
61,151.01764297197292,77.9342851638794
62,168.53336272718684,79.61187815666199
63,168.91249184228997,81.327476978302
64,171.6955264072757,83.09873008728027
65,172.2937296802915,84.59074711799622
66,174.6514952254094,86.22270894050598
67,176.01183622961037,87.78867101669312
68,177.22042762599744,89.56274604797363
69,177.9893583963289,91.17679500579834
70,178.10382004669253,92.87328100204468
71,186.56083299519713,94.64042806625366
72,188.8745866449288,96.32445406913757
73,189.15392085566154,98.43810510635376
74,189.7754623752955,99.78230595588684
75,194.4390323940279,101.40715909004211
76,194.57358529100276,102.87429714202881
77,197.40848789915697,104.26767802238464
78,197.4191000269,105.67136311531067
79,198.16665664898076,107.50184297561646
80,199.39355178416062,109.2848949432373
81,199.39549791838445,111.11905598640442
82,203.43727186372644,112.91388201713562
83,203.4440891814153,114.23386597633362
84,203.58681058747348,116.1768889427185
85,203.72497473471446,117.95037412643433
86,205.87666237663564,119.56723213195801
87,207.20410434414742,121.38676404953003
88,210.07799111482166,123.23999404907227
89,213.26531145511862,125.1132140159607
90,213.90999967592552,126.93509006500244
91,213.91423536734698,128.3199851512909
92,213.91878849674683,129.7663609981537
93,214.3553101834927,131.24855995178223
94,215.24608557920857,133.27853798866272
95,218.1927914609749,135.50176000595093
96,219.43531735744426,137.41322994232178
97,219.6527789041324,139.18922996520996
98,222.96261727110047,141.41689610481262
99,222.98492332632344,142.79149198532104
100,223.01766686988861,144.64136505126953
101,226.36357979690376,146.66067099571228
102,230.99078691178664,148.45984196662903
103,232.21511129160172,150.3212971687317
104,232.4285737974305,152.5157389640808
105,233.33677181470676,154.41116213798523
106,233.3377060873717,156.05570697784424
107,235.64405608647644,158.67235207557678
108,236.4635802310912,160.8304419517517
