x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120
1042,1095,1092,1103,1104,1108,1110,1111,1113,1114,1108,1108,1111,1111,1109,1104,1103,1109,1110,1113,1113,1113,1108,1108,1110,1107,1106,1099,1097,1098,1101,1110,1111,1112,1108,1108,1111,1111,1111,1108,1110,1106,1109,1113,1113,1114,1108,1108,1108,1108,1102,1101,1104,1104,1107,1110,1111,1114,1108,1108,1109,1110,1103,1104,1103,1103,1102,1107,1110,1114,1108,1108,1107,1102,1095,1084,1087,1076,1078,1079,1088,1098,1093,1079,1048,1043,957,934,901,903,902,925,941,985,964,942,884,830,716,648,663,630,649,653,684,695,675,497,503,351,305,275,238,246,284,321,413,334,86,0
6,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,6,5,4,3,5,5,5,6,6,6,6,7,5,4,4,3,3,3,4,6,4,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
