x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
598,625,628,627,627,628,630,632,632,632,626,625,622,621,622,619,622,624,627,630,631,631,625,625,626,622,623,622,619,618,620,626,628,630,622,619,618,598,553,539,525,547,531,541,545,557,569,526,490,385,284,219,220,202,221,237,253,249,25,0
4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,5,5,5,5,6,6,6,6,4,6,5,5,5,5,5,6,5,5,5,6,6,5,5,5,5,4,4,4,4,5,5,6,3,0
1200,1562,1561,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1561,1555,1555,1553,1548,1559,1556,1561,1557,1553,1521,1466,1400,1337,1256,1258,1221,1231,1228,1226,1263,1184,1006,749,584,483,443,421,452,397,354,371,21,0
