x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
1320,1482,1485,1483,1484,1485,1487,1489,1489,1489,1483,1482,1479,1478,1479,1476,1479,1481,1484,1487,1488,1488,1482,1482,1483,1479,1480,1477,1472,1471,1473,1483,1485,1487,1476,1473,1457,1402,1309,1250,1209,1242,1200,1218,1226,1244,1322,1202,1059,807,629,505,495,477,480,480,479,488,36,0
9,18,25,25,25,25,25,25,25,25,25,22,18,16,25,25,24,24,24,24,25,25,16,24,12,16,24,24,24,24,25,25,25,21,4,25,18,17,21,19,19,20,19,20,19,20,7,5,13,16,16,14,13,13,13,16,14,15,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
