x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
1351,1450,1452,1448,1454,1455,1457,1460,1464,1466,1464,1464,1462,1456,1455,1453,1453,1458,1460,1461,1466,1467,1464,1464,1465,1464,1457,1457,1456,1459,1460,1464,1466,1467,1462,1463,1463,1462,1458,1455,1452,1456,1459,1462,1464,1467,1464,1461,1465,1465,1458,1450,1451,1451,1455,1455,1463,1466,1460,1457,1461,1438,1401,1381,1359,1371,1376,1388,1401,1420,1421,1426,1402,1302,1186,1162,1110,1138,1156,1184,1187,1187,1193,1038,971,732,590,548,479,448,445,483,514,559,110,0
16,2,3,6,2,3,4,4,2,1,2,1,2,1,4,2,4,2,2,4,2,1,3,2,2,1,4,3,3,4,3,2,1,1,2,1,2,1,2,2,3,4,3,3,2,1,2,3,1,2,3,4,3,4,5,5,3,1,3,3,3,12,4,8,7,6,4,9,5,4,9,5,6,12,14,13,8,10,7,5,11,21,4,38,5,22,43,10,8,12,58,5,8,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
