x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
1240,1300,1304,1301,1304,1302,1303,1307,1312,1312,1312,1310,1310,1305,1295,1292,1296,1300,1304,1307,1311,1314,1310,1309,1312,1311,1308,1308,1307,1304,1307,1311,1313,1314,1307,1310,1312,1311,1306,1301,1305,1306,1307,1309,1309,1312,1310,1307,1307,1308,1305,1288,1283,1278,1279,1290,1293,1307,1300,1294,1301,1255,1216,1190,1177,1178,1200,1207,1224,1236,1266,1186,1153,1024,949,886,858,837,873,902,900,981,1006,822,684,469,442,382,371,370,384,411,533,445,133,0
69,5,2,3,2,3,3,5,2,3,2,3,4,4,5,5,4,4,3,3,2,1,2,2,2,2,4,2,2,4,3,3,2,1,5,2,2,3,4,6,5,6,4,3,4,1,3,5,7,4,4,4,6,5,4,6,4,3,6,6,11,40,19,12,14,6,6,9,8,3,3,27,13,55,28,7,7,10,7,14,22,6,2,17,51,26,18,19,19,10,10,99,103,5,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
