iter,LB,time
1,0.0,1.2132179737091064
2,0.0,71.74479413032532
3,0.00017201273483891805,148.7324230670929
4,0.00017201273483891805,258.09224104881287
5,0.0011688910048399332,425.05480098724365
6,0.0011688910048399332,741.0662109851837
7,0.001436123286439476,1686.2100269794464
8,0.001436123286439476,2594.57700920105
9,1.53713881594508,3476.7037620544434
10,1.5599601648739743,4129.260125160217
11,1.5599601648739743,4132.617719888687
12,1.5717604796877889,4952.278960943222
13,4.608634215700807,5807.702341079712
14,4.608634215700807,6976.065723896027
15,24.1403943942859,7828.083517074585
16,24.1403943942859,8868.414712905884
17,25.537227932899167,9685.764782905579
18,25.72039845376246,10400.0232899189
19,48.0039677717356,11135.807126045227
20,48.0039677717356,12090.967808008194
21,171.2154583096758,12914.620953083038
22,271.26245937586,13478.704396009445
23,275.8712013523392,13929.86388516426
24,281.3610165743308,14881.41498708725
25,299.2134891171661,15486.652152061462
26,308.58880145390435,15928.121973991394
27,311.7036759259101,16321.168361186981
28,312.8937219198213,16683.793107032776
29,321.0325827387061,17042.02507019043
30,425.52775436272276,17655.079230070114
31,434.4491782275816,18170.16505599022
32,466.51899021704384,18476.55315899849
33,502.3199646194441,19020.20386004448
34,511.1610006519155,19366.48137998581
35,536.5221935010727,19872.93939113617
36,606.508479774598,20356.146098136902
37,607.7076945714285,20804.87338399887
38,692.4260701336198,21208.719266176224
39,697.8583059060902,21681.850721120834
