x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
0,0,0,0,0,206,210,212,212,0,0,0,0,0,0,0,0,204,206,211,211,0,0,0,0,0,0,0,0,209,206,211,212,0,0,0,0,0,0,0,0,197,194,194,195,0,0,0,0,0,0,0,0,103,130,137,136,0,0,0
0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,2,4,2,1,0,0,0,0,0,0,0,0,2,3,2,4,0,0,0,0,0,0,0,0,12,5,4,1,0,0,0
206,210,210,207,208,0,0,0,0,213,213,212,211,209,205,203,204,0,0,0,0,213,212,210,213,211,213,209,210,0,0,0,0,214,213,211,211,209,203,196,198,0,0,0,0,203,202,180,171,137,132,114,126,0,0,0,0,131,43,0
