hr,LB_per_hr,UB_per_hr,CI_per_hr
1,5647.089543770978,15235.805235880382,1159.0700442936268
3,7844.686370080813,14338.879378075802,1088.9070593210504
6,8824.004340708676,14410.280451064415,1112.2406299245642
