x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120
43,458,44,52,51,54,58,97,179,158,52,161,291,1127,253,74,79,47,83,114,187,206,83,204,201,267,95,89,68,78,78,114,220,280,65,375,181,367,274,109,73,78,61,187,122,499,24,260,96,452,295,159,93,84,54,83,199,331,23,114,133,347,169,123,95,126,78,66,222,245,17,80,336,383,291,115,166,119,191,335,194,246,32,83,90,477,251,154,144,137,209,92,219,270,24,265,127,496,381,152,110,156,213,177,216,258,18,55,370,432,722,140,134,129,132,194,218,379,16,0
26,183,9,12,18,14,15,42,79,147,72,149,104,187,155,23,46,20,46,69,102,183,56,182,110,145,63,58,32,21,20,58,104,184,96,219,115,114,129,26,31,104,20,98,84,226,7,133,93,166,158,46,30,25,19,51,111,222,36,95,125,229,125,63,58,60,57,35,91,198,20,50,132,137,147,66,100,77,58,82,95,192,46,66,122,205,162,73,69,82,71,69,100,212,45,157,119,120,165,79,57,61,70,80,98,207,24,38,164,150,204,84,60,69,50,95,100,207,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
