x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
352,964,331,185,195,121,111,183,232,213,274,420,386,708,356,163,159,127,135,149,270,238,213,457,320,1152,310,178,198,186,172,174,280,403,131,359,399,511,404,215,156,120,163,291,283,857,318,270,438,821,321,203,171,144,164,233,295,432,237,528,407,362,314,159,181,145,164,132,289,462,149,331,345,566,252,148,207,159,148,194,215,556,351,231,208,318,164,242,229,253,224,280,449,468,33,0
132,157,114,64,55,24,27,67,76,81,88,202,216,176,137,60,45,45,53,55,75,100,75,192,154,227,131,72,66,80,75,59,63,199,66,163,176,151,163,86,61,33,39,55,98,185,101,158,107,219,144,60,72,44,63,84,96,207,115,309,250,174,137,56,34,55,61,39,84,192,95,226,188,172,192,81,72,39,54,112,86,211,223,196,153,124,92,112,94,123,69,69,101,196,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
