iter,LB,time
1,0.0,0.4349679946899414
2,0.0,13.798990964889526
3,2.0383658774818182e-5,27.530004024505615
4,2.0383658774818182e-5,42.921359062194824
5,2.0383658774818182e-5,59.87650394439697
6,0.0,76.5090081691742
7,0.001070591436923972,95.76719903945923
8,0.0010978072284724607,112.65568399429321
9,0.0010978072284724607,133.4779031276703
10,0.0010978072284724607,159.82072615623474
11,0.0010978072284724607,182.0867121219635
12,7.19605492733759,214.0293049812317
13,7.7720672160493525,242.20152115821838
14,12.389453539925823,277.981281042099
15,12.835022742075829,303.4592101573944
16,34.02117262560016,336.80903005599976
17,37.58051969938799,368.53359603881836
18,107.30020869429978,398.4337091445923
19,107.31346137142688,423.50697803497314
20,127.41804206679289,456.4934890270233
21,137.83601788261427,480.7604761123657
22,140.93768101407326,508.46878814697266
23,220.37746918901772,533.4456310272217
24,226.74979591080648,562.5598320960999
25,384.94494283998466,585.0937631130219
26,491.74325886571285,607.6678690910339
27,544.317312329239,623.7481789588928
28,551.5775280332074,652.6243951320648
29,763.4830925853083,684.8691141605377
30,781.2467176126265,706.0748081207275
31,782.9959945490158,728.1673500537872
32,862.0456657172437,762.3070960044861
33,890.6010483273806,783.1626319885254
34,892.6915588573522,806.7409541606903
35,914.7370471019807,821.9730100631714
36,938.2824850929953,838.8151249885559
37,941.3501055890421,852.8405001163483
38,989.1175249539077,874.9581961631775
39,1280.4495193271046,894.9356410503387
40,1344.2991148590852,918.3219661712646
41,1402.5415943263965,938.6435270309448
42,1420.3688109746568,965.502200126648
43,1424.1131132980559,980.9588179588318
44,1565.817187410863,1016.2564499378204
45,1604.7698019448753,1040.6219720840454
46,1623.9187330790319,1061.7332320213318
47,1626.3207911805828,1090.3904600143433
48,1791.332319787569,1105.7452919483185
49,1815.7521989716877,1133.259968996048
50,1880.3892387612138,1157.8828909397125
51,1935.521726076984,1194.3185391426086
52,1966.9204876189542,1224.6748440265656
53,1977.1276925284383,1239.2888050079346
54,1999.7193137901304,1265.9789531230927
55,2004.736424850775,1303.9133110046387
56,2007.2588406186728,1319.6939339637756
57,2024.8186697000099,1348.8631801605225
58,2031.088820890537,1371.6722509860992
59,2078.001085524205,1400.2002429962158
60,2341.806694833122,1429.5165231227875
61,2365.5809038367593,1465.8335371017456
62,2428.5410620732746,1504.0349309444427
63,2455.097680775884,1527.7296421527863
64,2468.3840609603035,1555.4566521644592
65,2508.4529698142715,1591.597352027893
66,2534.5302031354613,1626.5042259693146
67,2550.2071555760676,1645.6591091156006
68,2562.1226902136655,1676.160315990448
69,2588.620909176344,1713.0918180942535
70,2590.457669333858,1752.0003271102905
71,2606.351089515409,1779.5320570468903
72,2621.5121776612973,1803.649878025055
73,2658.590662100873,1832.8979470729828
74,2672.0388172336993,1852.9872951507568
75,2692.0846077029855,1885.1546111106873
76,2714.1578972698826,1913.7466690540314
77,2716.8107315504303,1931.8600380420685
78,2726.0364835202554,1960.2947399616241
79,2738.037224864491,1983.8253960609436
80,2746.2239483646167,2016.0059061050415
81,2749.740660688751,2041.664230108261
82,2788.346453085851,2070.4034049510956
83,2806.2333159168725,2093.1859259605408
84,2814.3425074813726,2136.5225281715393
85,2822.8841909405905,2165.796324968338
86,2827.3229137760554,2192.016631126404
87,2828.4688956208593,2226.8770661354065
88,2831.069703335838,2262.6776900291443
89,2841.520766807692,2287.6336619853973
90,2843.7561550400883,2310.8629319667816
91,2875.862535849489,2344.243345975876
92,2876.197393821084,2386.9308309555054
93,2934.580751138813,2424.8535289764404
94,2956.360471154876,2460.9509291648865
95,2966.2393312848926,2483.878930091858
96,2975.6864659493167,2521.923196077347
97,2983.382977367419,2549.4555399417877
98,2991.2478222886707,2597.3241600990295
99,3003.339671275321,2646.9332160949707
