x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
2254,3366,3363,3360,3362,3357,3357,3357,3351,3337,3348,3276,2732,1798,1245,843,750,716,696,580,521,570,46,0
13,2,3,5,3,7,5,5,7,9,7,19,69,36,22,20,33,12,47,6,8,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
