x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120
479,1979,437,360,435,301,342,323,527,508,745,773,842,1260,759,471,473,360,376,440,581,793,720,744,894,1442,580,439,502,380,352,441,681,817,741,882,948,1440,736,527,435,408,475,471,638,690,627,907,989,1624,582,457,577,435,437,506,775,803,393,573,864,1237,737,405,397,376,399,478,696,895,448,840,799,1187,693,513,425,456,359,466,707,728,409,894,760,865,632,391,461,359,391,466,701,765,366,768,750,793,500,395,355,314,400,520,725,774,270,401,521,717,450,336,318,315,371,464,558,518,13,0
10,9,24,30,19,16,14,15,22,17,7,30,24,19,18,20,22,29,22,20,21,21,7,57,21,20,29,24,21,20,23,14,20,17,6,22,16,22,18,24,21,22,26,16,16,20,18,24,16,20,28,25,19,13,21,21,16,19,12,19,21,12,15,23,20,22,23,22,14,18,11,26,14,19,21,21,18,22,19,19,15,17,7,26,14,18,17,27,22,21,15,19,15,18,14,23,17,19,23,25,31,22,22,15,16,19,16,24,18,22,26,30,20,22,27,20,17,15,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
