x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
2553,2871,2865,2857,2849,2849,2848,2850,2859,2850,2818,2574,2176,1466,914,650,546,533,531,726,504,446,75,0
36,70,128,128,128,128,128,126,127,128,81,124,107,74,38,25,25,22,23,38,35,20,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
