hr,LB_per_hr,UB_per_hr,CI_per_hr
1,5129.819468663677,29203.355050347112,1840.2252339480328
3,7618.829245608061,25347.506362571865,1643.055272365362
6,8885.45226072225,26294.743206748564,1606.4812778904081
