x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
872,907,907,906,905,908,909,912,912,914,908,908,908,906,908,911,912,912,912,912,913,914,908,908,909,908,910,903,908,908,908,909,912,914,906,907,908,904,905,905,905,901,905,912,912,914,908,908,906,905,906,900,904,900,906,910,911,914,907,906,909,902,895,886,881,864,862,872,886,896,881,880,850,810,732,684,694,692,680,690,710,750,715,708,572,426,376,323,282,296,289,304,355,378,75,0
4,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,5,4,4,4,5,1,0
712,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,855,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,851,852,853,851,851,855,856,856,855,839,845,829,814,812,813,789,794,820,828,834,818,796,740,701,664,659,625,643,662,646,670,644,619,481,369,323,296,245,232,256,239,235,271,41,0
