hr,LB_per_hr,UB_per_hr,CI_per_hr
1,20403.020857323194,54505.40161891229,2533.534091718618
3,26882.540042028937,54055.99884832277,2512.305301104283
6,28206.36734613793,55706.297830214105,2534.4664210560327
