x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
1120,1144,1145,1150,1149,1150,1153,1154,1155,1155,1150,1150,1147,1145,1147,1146,1145,1147,1149,1151,1153,1156,1150,1152,1152,1151,1145,1139,1144,1138,1136,1137,1145,1143,1144,1133,1132,1082,1006,942,907,895,906,896,899,880,854,796,651,512,375,347,322,322,350,417,320,298,73,0
12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,11,12,11,10,10,10,10,10,10,9,7,6,6,4,4,5,6,7,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
