x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120
189,782,292,127,102,89,89,139,226,204,126,236,403,1290,350,200,121,84,117,150,238,252,133,282,302,375,156,136,176,111,123,159,291,344,136,469,258,527,458,182,110,109,124,243,185,572,183,340,164,555,389,206,137,144,86,132,250,406,81,262,218,476,245,172,138,158,114,108,282,298,86,237,449,584,370,153,222,152,226,402,263,331,173,182,203,605,332,190,226,173,258,144,298,356,74,416,215,616,443,201,146,200,255,238,298,336,65,119,449,525,777,169,189,182,194,347,413,545,28,0
108,232,116,59,37,22,20,56,86,156,77,164,120,191,179,57,52,33,62,72,102,186,63,207,128,171,104,85,77,31,60,62,106,188,110,231,149,152,189,90,45,116,64,105,86,228,121,155,104,169,185,71,45,75,41,75,111,223,43,169,131,237,129,80,60,63,67,44,91,200,46,51,138,145,157,72,105,89,62,87,96,193,75,68,125,207,169,82,104,88,82,72,103,215,48,158,123,121,182,97,63,70,74,84,98,209,32,39,166,154,212,93,83,90,81,113,106,207,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
