x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
2553,41101,7076,6094,6739,4593,5426,7027,14626,19667,23375,15995,9738,9887,3501,2335,2448,2429,2846,3467,4513,3111,56,0
21,20,23,25,27,34,17,24,17,15,8,18,16,21,18,19,25,24,24,23,23,18,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
