x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
269,292,294,294,291,293,294,296,297,297,292,288,253,164,139,114,98,96,125,116,127,129,21,0
7,8,9,9,9,8,8,9,9,9,9,6,7,7,6,6,7,7,6,6,6,5,2,0
3061,9939,9945,9950,9951,9948,9949,9946,9946,9940,9901,9697,8782,5974,3570,2446,2040,2136,1814,1383,1183,1141,46,0
