hr,LB_per_hr,UB_per_hr,CI_per_hr
1,1244.6075343620548,1571.8021319433701,242.1166602672044
3,1336.573161456604,1842.394587376085,281.99361592109415
6,1371.8739347258586,1897.1498271748248,281.7145478857658
12,1403.6303884059826,1545.721031372363,273.4937410647164
24,1436.226759874041,1532.0676076897253,238.36637694376333
48,1464.3451672454876,1724.442599837121,286.92401454731845
