x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,0,0,0,0,2258,2262,2261,2261,0,0,0,0,0,0,0,0,533,476,434,397,0,0,0
0,0,0,0,0,6,2,3,4,0,0,0,0,0,0,0,0,12,19,2,4,0,0,0
1602,2262,2264,2264,2264,0,0,0,0,2264,2259,2223,1980,1295,870,592,555,0,0,0,0,404,31,0
