x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,0,0,0,0,11440,11433,11428,11435,0,0,0,0,0,0,0,0,2211,1974,1659,1401,0,0,0
0,0,0,0,0,8,4,6,6,0,0,0,0,0,0,0,0,25,30,4,6,0,0,0
3863,11444,11439,11447,11443,0,0,0,0,11434,11410,11174,9794,6281,4078,2787,2386,0,0,0,0,1407,65,0
