x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
1877,21497,3582,3124,3468,2356,2839,3641,7549,9954,11354,7951,5007,4951,1807,1355,1513,1611,1779,1995,2411,1685,42,0
21,20,23,25,27,33,17,24,17,15,8,18,16,19,18,19,24,24,24,23,23,18,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
