hr,LB_per_hr,UB_per_hr,CI_per_hr
1,1239.5750446990749,1484.7678136849568,236.14005923501097
3,1302.9038829760543,1455.6126744905685,236.8320631342146
6,1334.7785484656922,1464.5190176390686,235.71090139714917
12,1375.4980929075664,1437.4986926842905,231.4903839896566
24,1405.9040897518366,1422.1519536497399,230.07641824721173
48,1439.2087556835409,1416.3041787320408,227.48538745817493
