hr,LB_per_hr,UB_per_hr,CI_per_hr
1,807.631701807613,1532.0205805351868,245.54174694106572
3,934.3006358627488,1506.4838722413306,238.76659493510763
6,977.7548239068401,1487.8068070256566,237.29232853019047
12,1072.255541624774,1478.4985881360183,243.42164033412865
24,1170.1601636739147,1430.4801666890708,230.95752896408317
48,1209.8180506547706,1424.9391216689392,230.7874530026407
