x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,0,0,0,0,936,936,943,944,0,0,0,0,0,0,0,0,282,284,330,294,0,0,0
0,0,0,0,0,4,3,3,1,0,0,0,0,0,0,0,0,20,11,46,3,0,0,0
914,952,951,947,943,0,0,0,0,957,951,906,791,547,410,326,321,0,0,0,0,261,61,0
