iter,LB,time
1,0.0,0.9611308574676514
2,0.0,0.9611308574676514
3,0.0,1.0048890113830566
4,0.0,2.9611809253692627
5,0.0,3.4887850284576416
6,0.0,4.0288848876953125
7,0.0,4.578768968582153
8,0.0,5.13803505897522
9,0.0,18.54731798171997
10,0.0,18.54731798171997
11,0.0,18.547380924224854
12,0.0,20.763118028640747
13,0.0,22.43750786781311
14,0.0,24.261302947998047
15,0.0,26.051405906677246
16,0.0,28.78655505180359
17,0.0,36.211276054382324
18,0.0,36.211276054382324
19,0.0,36.21131086349487
20,0.0,38.655616998672485
21,0.0,41.009055852890015
22,11.300572357108889,43.41850686073303
23,20.832241338854885,45.80673003196716
24,21.001133803537172,48.19124102592468
25,21.001133803537194,50.78242087364197
26,21.001133803537194,53.37120699882507
27,21.001133803537194,55.866551876068115
28,21.001133803537194,63.21117806434631
29,21.001133803537194,63.21117806434631
30,27.151379876173266,63.21121692657471
31,45.70434541520886,66.08492803573608
32,55.85884433906615,69.03365898132324
33,64.02444075037754,71.95490503311157
34,64.44512794988039,74.83493304252625
35,66.51413241227694,77.71435785293579
36,66.70620328102271,80.64619493484497
37,66.88804321282916,83.68503999710083
38,67.02981439847906,86.78208994865417
39,86.86570855080595,89.7448878288269
40,127.85924252913884,93.68556785583496
41,131.06024397211007,96.72438597679138
42,137.28130560302586,99.86943101882935
43,144.76062771538906,102.87912487983704
44,145.479326764187,105.99213695526123
45,156.31611687789598,109.07606792449951
46,163.93679781222318,112.17926383018494
47,198.93945784196552,115.3041980266571
48,229.71283797350478,118.36229395866394
49,231.34703267380937,121.6326379776001
50,241.419920800132,124.93872284889221
51,282.757229287569,129.13226890563965
52,300.0998081574832,132.36750102043152
53,305.81616887817194,135.61982488632202
54,308.92165276293207,138.88680291175842
55,329.81897136247034,142.25008392333984
56,332.4820640769493,145.59697699546814
57,367.42684484869176,148.92132997512817
58,382.94973874372425,152.18749499320984
59,383.1590290834975,155.51864790916443
60,383.271973124228,158.95464706420898
61,395.4261798644776,163.2769958972931
62,406.5089806425174,166.6014440059662
63,417.3456535725768,170.07007002830505
64,433.01782284034437,173.6253490447998
65,471.09376474234637,177.09996104240417
66,480.0567535156487,180.63340997695923
67,484.84187650848145,184.17721605300903
68,526.3348020902868,187.66954898834229
69,593.5860384141677,191.23115801811218
70,608.2196991604562,194.76927304267883
71,618.7510422536809,198.03142595291138
72,632.4710098179775,202.4528820514679
73,684.4466012650237,206.2752649784088
74,684.6488950210639,209.95503902435303
75,755.3083219302213,213.59841203689575
76,762.0381244540987,217.0301148891449
77,775.9030574886777,220.6862449645996
78,786.3176972246413,224.38441395759583
79,804.3181579726689,227.90851402282715
80,860.5147699319346,231.54554200172424
81,888.1151623595574,235.17209005355835
82,896.3358616091236,239.6906280517578
83,936.7106880915696,243.50992393493652
84,945.4716803297728,247.33471083641052
85,949.3620863439769,250.83195996284485
86,967.7004777152285,254.4306800365448
87,1062.008564703398,258.18448996543884
88,1067.5061949861838,261.8953769207001
89,1067.5990761228063,265.7455849647522
90,1079.1997529992263,269.421875
91,1079.523287190303,273.3954429626465
92,1090.2854416647701,278.16641187667847
