x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120
0,0,0,0,0,282,284,284,286,0,0,0,0,0,0,0,0,278,279,281,286,0,0,0,0,0,0,0,0,277,278,284,287,0,0,0,0,0,0,0,0,280,283,286,287,0,0,0,0,0,0,0,0,283,284,285,286,0,0,0,0,0,0,0,0,279,280,283,286,0,0,0,0,0,0,0,0,277,279,282,284,0,0,0,0,0,0,0,0,271,270,274,283,0,0,0,0,0,0,0,0,218,228,218,220,0,0,0,0,0,0,0,0,147,155,166,169,0,0,0
0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,4,3,17,7,0,0,0,0,0,0,0,0,7,7,4,2,0,0,0
275,282,282,281,281,0,0,0,0,287,285,284,284,279,278,277,277,0,0,0,0,287,286,285,286,284,282,281,282,0,0,0,0,288,287,285,287,283,281,281,282,0,0,0,0,288,285,284,285,285,285,286,287,0,0,0,0,288,286,285,286,284,282,280,282,0,0,0,0,288,285,284,287,275,270,268,274,0,0,0,0,287,287,286,281,283,279,276,276,0,0,0,0,283,286,284,282,276,254,233,238,0,0,0,0,230,245,214,167,163,146,123,126,0,0,0,0,164,38,0
