iter,LB,time
1,0.0,1.6393048763275146
2,0.0,1.6393048763275146
3,0.0,1.6787669658660889
4,0.0,5.239590883255005
5,0.0,7.398323059082031
6,0.0,9.580911874771118
7,0.0,11.781844854354858
8,0.0,13.991575956344604
9,0.0,91.2270839214325
10,0.0,91.2270839214325
11,0.0,91.22712397575378
12,0.0,97.25832104682922
13,0.0,102.80219101905823
14,0.0,108.46679902076721
15,0.0,114.26892590522766
16,0.0,120.98437404632568
17,0.0,165.36020588874817
18,0.0,165.36020588874817
19,0.0,165.36025500297546
20,0.0,174.1803150177002
21,0.0,182.08736205101013
22,0.0,190.0195119380951
23,0.03217712386897281,197.86808896064758
24,0.33541001184675295,206.1508150100708
25,1.1223376844218267,215.5481960773468
26,1.2069441760185278,223.73797702789307
27,34.38049457610128,232.27827286720276
28,39.24334444993394,240.31725692749023
29,45.887363065882184,248.7254490852356
30,47.58087977247911,257.9287760257721
31,47.72387849851917,266.2937080860138
32,48.19905424343561,274.68832302093506
33,48.33198137193092,283.38904190063477
34,48.33994341327449,291.97321105003357
35,48.351517878768334,301.4756190776825
36,112.5429675363435,310.1011960506439
37,112.60872412129666,318.4435770511627
38,114.67236454774263,327.15318489074707
39,115.19389357820083,336.0457708835602
40,121.30069267671404,345.65317702293396
41,123.85241542056711,354.6406650543213
42,162.17992870427742,363.6874330043793
43,184.5561190987109,372.64169001579285
44,186.67579007421193,382.4523780345917
45,187.9105990527498,390.9853549003601
46,188.93646943081723,399.9397690296173
47,198.3118451394612,409.06405997276306
48,225.97608858107665,418.3064138889313
49,305.9847716582825,428.6735050678253
50,347.09316393353896,437.60055685043335
51,375.12167470106306,446.7866539955139
52,380.5747175218289,456.58389496803284
53,382.34911378217873,466.1633930206299
54,387.3863385329372,476.04601192474365
55,390.2410255996907,485.4724199771881
56,395.6274831635149,495.2560999393463
57,401.06322008618554,505.11402106285095
58,476.9666701641131,514.4258148670197
59,497.9329928596718,524.9424529075623
60,535.4467214896465,534.1276519298553
61,568.4372691732177,543.473876953125
62,568.4420414072313,552.9991919994354
63,569.6703434807117,563.3688039779663
64,582.0606767307191,573.0058350563049
65,629.5602239582212,582.8756420612335
66,662.3781005609283,592.5743930339813
67,694.1741503547031,602.0796899795532
68,722.4286071469012,613.069347858429
69,722.4776449844014,622.5244839191437
70,744.4088390080284,632.1979529857635
71,851.3399872721342,641.9692850112915
72,855.9012457847746,651.5008759498596
73,874.4700718236214,662.4911489486694
74,876.4756083846712,672.2971470355988
75,903.2019819287231,681.9819259643555
76,904.4447895602759,692.3976860046387
77,905.5367840985493,703.53466796875
78,934.1445640077302,712.9921939373016
79,958.1458213424862,722.7371549606323
80,1067.0924421067245,732.9436929225922
81,1094.4327265855597,743.1781208515167
82,1126.9831479260015,754.9858150482178
