x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
2163,3078,3080,3081,3080,3080,3083,3084,3084,3086,3072,3035,2621,1712,1072,848,764,691,704,547,519,496,44,0
11,11,38,52,103,222,90,80,35,16,19,27,34,44,58,63,60,57,48,42,38,38,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
