x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
74,366,113,85,129,75,69,102,163,230,167,498,315,588,291,122,69,80,82,94,190,563,29,0
74,167,88,52,41,30,26,38,58,183,122,187,110,181,109,40,32,16,17,31,123,215,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
