x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96
438,1604,369,326,374,267,296,345,486,425,638,792,714,1035,536,413,429,286,318,354,591,716,562,746,931,1355,504,406,459,336,358,465,699,722,605,803,728,1247,653,456,362,347,343,393,539,624,578,796,710,1170,470,377,506,363,385,409,633,708,316,484,661,868,655,357,359,329,329,449,690,813,409,591,577,916,486,411,376,385,363,446,626,574,279,565,448,500,488,362,380,324,351,464,682,521,65,0
19,9,26,30,22,15,22,23,19,15,20,34,18,15,22,17,24,23,22,18,25,16,9,25,25,37,21,24,25,21,16,24,22,17,7,25,15,23,25,22,19,21,18,17,12,20,11,31,20,19,31,20,22,21,28,20,20,18,10,22,22,23,24,28,23,25,18,9,20,18,15,23,16,18,20,19,32,20,22,18,18,19,8,40,10,18,24,19,20,23,27,20,19,13,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
