hr,LB_per_hr,UB_per_hr,CI_per_hr
1,3188.636950822408,30475.58318377627,1968.3520528687827
3,5352.526080871778,28320.592144560702,1743.6923034918257
6,7124.780235515423,27468.861658940164,1765.2902394712933
