x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
1380,1398,1398,1400,1401,1402,1404,1405,1405,1406,1400,1401,1400,1399,1396,1396,1397,1398,1399,1402,1404,1406,1400,1402,1399,1398,1392,1378,1377,1374,1386,1392,1397,1402,1396,1390,1376,1328,1174,1109,1097,1080,1063,1063,1094,1139,1063,860,710,568,432,376,376,421,430,444,399,378,86,0
10,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,9,8,9,10,10,9,9,7,6,3,3,4,4,6,7,7,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
