x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
1588,1971,1965,1969,1965,1949,1951,1966,1974,1973,1961,1888,1482,1060,605,423,375,391,396,500,609,422,91,0
55,56,56,55,53,54,53,54,56,55,56,51,45,36,21,15,12,11,12,16,24,13,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
