x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
0,0,0,0,0,136,138,142,143,0,0,0,0,0,0,0,0,135,137,140,142,0,0,0,0,0,0,0,0,139,140,141,142,0,0,0,0,0,0,0,0,125,131,132,137,0,0,0,0,0,0,0,0,71,85,91,97,0,0,0
0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,3,3,1,0,0,0,0,0,0,0,0,5,2,2,1,0,0,0
134,137,135,136,138,0,0,0,0,144,143,142,143,142,137,135,135,0,0,0,0,144,142,140,142,142,142,137,138,0,0,0,0,142,141,141,142,136,131,130,127,0,0,0,0,142,138,135,117,89,96,75,76,0,0,0,0,100,36,0
