x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,0,0,0,0,1949,1949,1951,1952,0,0,0,0,0,0,0,0,372,431,340,359,0,0,0
0,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,0,88,12,47,7,0,0,0
1394,1950,1950,1951,1951,0,0,0,0,1955,1949,1925,1697,1139,774,603,522,0,0,0,0,381,34,0
