hr,LB_per_hr,UB_per_hr,CI_per_hr
1,0.0,8.739871962119278e6,15422.91158682074
3,0.0,3.648035999305583e6,11214.289207212376
6,0.0,3.687515136358152e6,11728.777427335554
12,0.0,3.6875192698676353e6,11729.217374948787
24,0.0,3.6867490428464515e6,11717.579165549814
48,0.0,3.6875336817670707e6,11729.55584157868
