hr,LB_per_hr,UB_per_hr,CI_per_hr
1,0.0,8.739871962119278e6,15422.91158682074
3,0.0,2.4828768301614462e6,9686.064484425708
6,0.0,2.488403206412766e6,9702.316849571143
12,0.0,2.4868095851832204e6,9691.201533578316
24,0.0,2.4871367175427424e6,9692.055961105436
48,0.0,2.488279967368494e6,9702.636679752379
